Ngày,MAE,RMSE
2026-03-10,12.27,13.57
2026-03-11,20.99,21.45
2026-03-12,18.86,20.07
2026-03-13,10.76,11.66
2026-03-14,5.38,6.4
2026-03-15,3.28,3.78
2026-03-16,4.15,4.39
2026-03-17,5.59,6.16
2026-03-18,3.71,4.51
2026-03-19,3.99,5.18
2026-03-20,2.74,3.24
2026-03-21,2.81,3.23
2026-03-22,4.49,5.65
2026-03-23,6.42,8.98
2026-03-24,5.66,7.03
2026-03-25,5.12,6.51
2026-03-26,5.81,7.8
2026-03-27,2.86,3.57
2026-03-28,3.88,4.61
2026-03-29,2.35,2.65
2026-03-30,4.16,4.93
2026-03-31,5.38,6.53
2026-04-01,7.6,8.65
2026-04-02,4.86,6.0
2026-04-03,9.74,12.24
2026-04-04,7.33,9.55
2026-04-05,8.23,10.76
2026-04-06,19.98,22.36
2026-04-07,13.09,16.93
2026-04-08,4.36,5.26
2026-04-09,3.9,4.32
2026-04-10,9.84,12.57
